"","replicate","methods","scores"
"1",1,"BMA",4.66294773040018
"2",1,"BMA",4.53973085774197
"3",1,"BMA",2.78113372947735
"4",1,"BMA",2.1776639462715
"5",1,"BMA",2.34735590276918
"6",1,"BMA",2.35721481272121
"7",1,"BMA",5.31992373802675
"8",1,"BMA",3.46240795997898
"9",1,"BMA",5.59725086530333
"10",1,"BMA",1.84218719697528
"11",1,"BMA",1.22067198051067
"12",1,"BMA",1.55179072479946
"13",1,"BMA",1.47160624201008
"14",1,"BMA",3.13251151765122
"15",1,"BMA",4.02064503718846
"16",1,"BMA",1.14758439890847
"17",1,"BMA",1.46033035919967
"18",1,"BMA",1.11736809606923
"19",1,"BMA",2.44580857739377
"20",1,"BMA",1.43481767109218
"21",1,"BMA",1.06700576534027
"22",1,"BMA",1.03723045292386
"23",1,"BMA",1.36250917907813
"24",1,"BMA",1.34140766987212
"25",1,"BMA",1.80242904873158
"26",1,"BMA",0.931899147419669
"27",1,"BMA",1.34733562901965
"28",1,"BMA",0.915190234323691
"29",1,"BMA",1.00526872079702
"30",1,"BMA",1.09080904561251
"31",1,"BMA",0.975100466712049
"32",1,"BMA",0.935009141488952
"33",1,"BMA",0.831128508089851
"34",1,"BMA",0.852765757245379
"35",1,"BMA",1.75617843843948
"36",1,"BMA",2.52432154400856
"37",1,"BMA",0.966144257283052
"38",1,"BMA",2.0252382429273
"39",1,"AVS",4.66294773040018
"40",1,"AVS",4.51843781985994
"41",1,"AVS",2.58010079347489
"42",1,"AVS",3.30488613972788
"43",1,"AVS",2.34547327598767
"44",1,"AVS",2.31314852384718
"45",1,"AVS",4.28840607433327
"46",1,"AVS",3.17859562529973
"47",1,"AVS",5.22619625737958
"48",1,"AVS",1.80869037533557
"49",1,"AVS",1.21514616461768
"50",1,"AVS",1.54882685975337
"51",1,"AVS",1.46323511737257
"52",1,"AVS",3.14315848281634
"53",1,"AVS",4.00615255341982
"54",1,"AVS",1.14613108773408
"55",1,"AVS",1.45446851376896
"56",1,"AVS",1.11330973548029
"57",1,"AVS",2.45577908052174
"58",1,"AVS",1.43709274837502
"59",1,"AVS",1.06768288711052
"60",1,"AVS",1.04048811342388
"61",1,"AVS",1.36443064734707
"62",1,"AVS",1.3414590623336
"63",1,"AVS",1.8065809981449
"64",1,"AVS",0.930361059204412
"65",1,"AVS",1.34129592379902
"66",1,"AVS",0.912579745317766
"67",1,"AVS",1.00447492395178
"68",1,"AVS",1.08949644580709
"69",1,"AVS",0.974608400556613
"70",1,"AVS",0.946695191055913
"71",1,"AVS",0.82513938286186
"72",1,"AVS",0.864563851743337
"73",1,"AVS",1.80885595233531
"74",1,"AVS",2.56817190193529
"75",1,"AVS",0.958991307499105
"76",1,"AVS",1.84264396210337
"77",1,"EQW",4.66294773040018
"78",1,"EQW",5.65500205275092
"79",1,"EQW",3.86914853077009
"80",1,"EQW",1.95434935083729
"81",1,"EQW",2.75146941737311
"82",1,"EQW",2.74635164970182
"83",1,"EQW",5.37193260018514
"84",1,"EQW",4.09483098849894
"85",1,"EQW",4.80655180393646
"86",1,"EQW",2.9030441067208
"87",1,"EQW",1.83446657241704
"88",1,"EQW",2.49347062807926
"89",1,"EQW",2.72574250217595
"90",1,"EQW",2.13095145828426
"91",1,"EQW",3.41905356985202
"92",1,"EQW",1.3922721796088
"93",1,"EQW",1.77069413519867
"94",1,"EQW",1.53101024666233
"95",1,"EQW",2.04248982033037
"96",1,"EQW",1.88268832309789
"97",1,"EQW",1.32959662962216
"98",1,"EQW",1.36889805921649
