"","rep","time","method","crps","logs","pit"
"1",1,1,"BMA",8.56670289793517,4.11942426599482,0.906
"2",1,2,"BMA",2.34848523352652,3.18033024952365,0.557
"3",1,3,"BMA",9.0669368765764,4.34810069130249,0.908
"4",1,4,"BMA",2.84951828132052,3.40923741431305,0.602
"5",1,5,"BMA",3.93386323642056,3.48303774719513,0.295
"6",1,6,"BMA",3.58123586778389,3.38843585473277,0.309
"7",1,7,"BMA",2.34052757898217,3.18220397473608,0.4035
"8",1,8,"BMA",5.97698647900752,3.72004948953531,0.864
"9",1,9,"BMA",3.38726570658412,3.38525975365411,0.685
"10",1,10,"BMA",5.41753239182046,3.52889148562359,0.8545
"11",1,11,"BMA",1.9660871673418,2.9514467949796,0.5705
"12",1,12,"BMA",6.57694536566338,3.89856224604167,0.9355
"13",1,13,"BMA",6.26298579151273,3.78643286301842,0.9125
"14",1,14,"BMA",3.67968332111925,3.25091736184098,0.8005
"15",1,15,"BMA",5.04769213242563,3.61255036205576,0.1245
"16",1,16,"BMA",3.30429731396271,3.14689441732187,0.7675
"17",1,17,"BMA",2.67210943552799,3.09959421276446,0.722
"18",1,18,"BMA",4.75428809318998,3.53268103915401,0.127
"19",1,19,"BMA",8.68407330210968,4.40538624617061,0.0485
"20",1,20,"BMA",2.19721850682822,2.91384927988599,0.33
"21",1,21,"BMA",3.73392709589719,3.22935337438049,0.1805
"22",1,22,"BMA",5.76403448880801,3.65235533398128,0.0985
"23",1,23,"BMA",4.00811499752689,3.29923123991595,0.159
"24",1,24,"BMA",3.49065216240484,3.21677231528498,0.207
"25",1,25,"BMA",2.13523709258426,2.94953341925233,0.6815
"26",1,26,"BMA",4.18317931504439,3.3150863970387,0.167
"27",1,27,"BMA",1.78199926158551,2.88481850337983,0.4505
"28",1,28,"BMA",7.39478343896528,4.0028213052181,0.0605
"29",1,29,"BMA",2.17304569046517,2.95070019685229,0.3595
"30",1,30,"BMA",1.5597956432507,2.8266984548576,0.498
"31",1,31,"BMA",2.57946853947847,3.07823181793148,0.7175
"32",1,32,"BMA",1.84873369472957,2.92057915349384,0.4
"33",1,33,"BMA",1.96506267537854,2.87591956748564,0.3235
"34",1,34,"BMA",2.11077762575396,3.02403652874517,0.346
"35",1,35,"BMA",2.38543530954783,2.93229914587593,0.2815
"36",1,36,"BMA",1.88322678434559,2.93008268094873,0.3525
"37",1,37,"BMA",1.60624662590037,2.81344916504276,0.3865
"38",1,38,"BMA",1.95209839909091,2.87960679223861,0.333
"39",1,1,"AVS",8.56670289793517,4.15836248742624,0.912
"40",1,2,"AVS",2.41906431907061,3.18070983390925,0.4765
"41",1,3,"AVS",6.97342261595634,3.95396358997849,0.862
"42",1,4,"AVS",2.88869354594386,3.45672366687293,0.622
"43",1,5,"AVS",4.0256091262787,3.44647485712763,0.304
"44",1,6,"AVS",3.98308925431759,3.48038725356793,0.2805
"45",1,7,"AVS",2.48583344741055,3.17908532828619,0.437
"46",1,8,"AVS",6.77828397272976,3.98203063615012,0.868
"47",1,9,"AVS",4.95595363979879,3.54939511634963,0.762
"48",1,10,"AVS",3.66986458968672,3.38063308750081,0.8185
"49",1,11,"AVS",1.76358778226066,2.80168121950175,0.5475
"50",1,12,"AVS",6.61896758343956,3.86019788084471,0.928
"51",1,13,"AVS",6.51912502866709,3.80355671892598,0.927
"52",1,14,"AVS",4.1095443685028,3.31116881913849,0.823
"53",1,15,"AVS",4.51583738192638,3.51167650947164,0.1525
"54",1,16,"AVS",3.48877145394137,3.24361224819535,0.8005
"55",1,17,"AVS",2.9143609738268,3.17300829434959,0.733
"56",1,18,"AVS",4.37007574167536,3.40149189182442,0.1455
"57",1,19,"AVS",8.41758886282673,4.3775721290204,0.054
"58",1,20,"AVS",2.17924232327019,2.92279886983343,0.3315
