"","replicate","methods","scores"
"1",1,"BMA",5.95719686393007
"2",1,"BMA",2.38178634605909
"3",1,"BMA",3.41713601557726
"4",1,"BMA",7.2407529889186
"5",1,"BMA",10.0623598591335
"6",1,"BMA",4.06788759432774
"7",1,"BMA",12.1140173718837
"8",1,"BMA",17.8261183252385
"9",1,"BMA",4.51357946556399
"10",1,"BMA",6.03826043741278
"11",1,"BMA",3.70419894178447
"12",1,"BMA",7.88978915421767
"13",1,"BMA",5.32548104799298
"14",1,"BMA",12.319555979493
"15",1,"BMA",6.89903103153934
"16",1,"BMA",6.78370295328044
"17",1,"BMA",5.30687743171621
"18",1,"BMA",2.33511084246385
"19",1,"BMA",5.26778758636971
"20",1,"BMA",2.36807046508371
"21",1,"BMA",5.66105412040213
"22",1,"BMA",2.54249612260513
"23",1,"BMA",10.4332636227534
"24",1,"BMA",8.95922268685858
"25",1,"BMA",10.953486361182
"26",1,"BMA",4.08017988329621
"27",1,"BMA",2.33019853971101
"28",1,"BMA",8.45038561416562
"29",1,"BMA",4.29534247923622
"30",1,"BMA",2.83756380246365
"31",1,"BMA",3.13003963165872
"32",1,"BMA",5.1025285445381
"33",1,"BMA",6.29205106731302
"34",1,"BMA",2.39884000648563
"35",1,"BMA",3.22297285051492
"36",1,"BMA",2.69552834900923
"37",1,"BMA",1.29528931244466
"38",1,"BMA",1.10102230177566
"39",1,"AVS",5.95719686393007
"40",1,"AVS",2.75180923629881
"41",1,"AVS",2.92246358444293
"42",1,"AVS",7.42158433919986
"43",1,"AVS",11.6551903633712
"44",1,"AVS",3.84072467038184
"45",1,"AVS",7.33413989245227
"46",1,"AVS",15.4901343605178
"47",1,"AVS",4.28978931114778
"48",1,"AVS",6.0025347995564
"49",1,"AVS",3.70107639677904
"50",1,"AVS",7.89087681807345
"51",1,"AVS",5.32601771999934
"52",1,"AVS",12.3223798399862
"53",1,"AVS",6.90203115201846
"54",1,"AVS",6.78609362490081
"55",1,"AVS",5.30802913528234
"56",1,"AVS",2.3340818269006
"57",1,"AVS",5.27054695205843
"58",1,"AVS",2.36706147758854
"59",1,"AVS",5.6639832244371
"60",1,"AVS",2.54049521415912
"61",1,"AVS",10.4349840059902
"62",1,"AVS",8.96601319958675
"63",1,"AVS",10.9745641492806
"64",1,"AVS",4.10754139051152
"65",1,"AVS",2.31190365079419
"66",1,"AVS",8.42961775536834
"67",1,"AVS",4.27518079018693
"68",1,"AVS",2.83737967839395
"69",1,"AVS",3.13352233262628
"70",1,"AVS",5.10965628103482
"71",1,"AVS",6.30577565737613
"72",1,"AVS",2.37359981865028
"73",1,"AVS",3.2281666950432
"74",1,"AVS",2.68557764062885
"75",1,"AVS",1.29063715452372
"76",1,"AVS",1.10219009948624
"77",1,"EQW",5.95719686393007
"78",1,"EQW",1.6628742772137
"79",1,"EQW",5.80518133237439
"80",1,"EQW",7.14336050268619
"81",1,"EQW",7.29315310732705
"82",1,"EQW",3.05327967219273
"83",1,"EQW",13.4524283283414
"84",1,"EQW",20.8855699542823
"85",1,"EQW",7.08832800037962
"86",1,"EQW",11.6271707767019
"87",1,"EQW",6.17155344860494
"88",1,"EQW",6.40245662908921
"89",1,"EQW",4.3731879891449
"90",1,"EQW",5.13273869938222
"91",1,"EQW",3.60121442847625
"92",1,"EQW",3.58393750498316
"93",1,"EQW",3.22975332647801
"94",1,"EQW",3.1906868733505
"95",1,"EQW",4.17390138128121
"96",1,"EQW",4.1459280866029
"97",1,"EQW",4.98453835919629
"98",1,"EQW",4.61777104155521
"99",1,"EQW",8.39000672893144
"100",1,"EQW",4.22568670627326
"101",1,"EQW",5.01957595799982
"102",1,"EQW",2.7235318734764
"103",1,"EQW",3.44290405644251
"104",1,"EQW",5.83500327354823
"105",1,"EQW",3.69010476572756
"106",1,"EQW",4.63116782376859
"107",1,"EQW",2.50860345569009
"108",1,"EQW",3.33724286668962
"109",1,"EQW",3.69359772090672
"110",1,"EQW",2.09705019565427
"111",1,"EQW",2.84681814509417
"112",1,"EQW",2.2716851058684
"113",1,"EQW",1.75557941175752
"114",1,"EQW",1.6609215136971
"115",1,"SGP",5.95719686393007
"116",1,"SGP",1.65388109051449
"117",1,"SGP",8.37946536153531
"118",1,"SGP",7.21383673138786
"119",1,"SGP",10.1863522695955
"120",1,"SGP",5.69952932170295
"121",1,"SGP",13.5607604465496
"122",1,"SGP",20.174959555569
"123",1,"SGP",9.51130029890029
"124",1,"SGP",7.89955538218313
"125",1,"SGP",3.14208801131322
"126",1,"SGP",12.6557342504002
"127",1,"SGP",4.69553915353623
"128",1,"SGP",3.66642041266782
"129",1,"SGP",5.87515054166803
"130",1,"SGP",2.16375221169761
"131",1,"SGP",3.94511388100712
"132",1,"SGP",4.8226672882762
"133",1,"SGP",4.31003615560899
"134",1,"SGP",6.55018962062973
