"","model","wt","upp","low","week","alpha","step","rep"
"1","arima",0.318523001703111,0.8129095,0.01020213,2,1,1,1
"2","asg",0.199594948152286,0.655049,0.00565227275,2,1,1,1
"3","naive",0.407894148143048,0.87335095,0.018714215,2,1,1,1
"4","sir",0.0739879018667572,0.282473575,0.00173678325,2,1,1,1
"5","arima",0.2535196903,0.315758625,0.19578295,2,50,1,1
"6","asg",0.25112566188,0.313587375,0.1935549,2,50,1,1
"7","naive",0.25429543774,0.31735435,0.195809275,2,50,1,1
"8","sir",0.24105921026,0.301845525,0.184590925,2,50,1,1
"9","arima",0.190406679446995,0.736246825,0.004119485,3,1,1,1
"10","asg",0.111565943575718,0.4412476,0.00268243275,3,1,1,1
"11","naive",0.65839783720128,0.949668,0.0675325975,3,1,1,1
"12","sir",0.0396295418924186,0.153032125,0.000932590125,3,1,1,1
"13","arima",0.25565361538,0.318523,0.19717885,3,50,1,1
"14","asg",0.25102798912,0.312968325,0.193616825,3,50,1,1
"15","naive",0.25814870282,0.321781125,0.1989444,3,50,1,1
"16","sir",0.23516969312,0.29520325,0.1801639,3,50,1,1
"17","arima",0.183829877666824,0.76545035,0.00380001025,4,1,1,1
"18","asg",0.0532924019380852,0.2076909,0.0012411805,4,1,1,1
"19","naive",0.7378253179673,0.964988225,0.1314995,4,1,1,1
"20","sir",0.0250524051065673,0.09450251,0.000615683875,4,1,1,1
"21","arima",0.26047829606,0.324263375,0.201093875,4,50,1,1
"22","asg",0.24831639928,0.310596175,0.191625975,4,50,1,1
"23","naive",0.26300185846,0.3274595,0.2026469,4,50,1,1
"24","sir",0.22820344776,0.287382075,0.174434975,4,50,1,1
"25","arima",0.186836625898824,0.79821975,0.0037618805,5,1,1,1
"26","asg",0.0331647492944051,0.124470375,0.000794049175,5,1,1,1
"27","naive",0.76146595610312,0.971704225,0.139745775,5,1,1,1
"28","sir",0.0185326699889968,0.0701048225,0.000471608825,5,1,1,1
"29","arima",0.26529872396,0.3294642,0.20547195,5,50,1,1
"30","asg",0.24418626938,0.306403225,0.187008725,5,50,1,1
"31","naive",0.26806623664,0.332907075,0.2072887,5,50,1,1
"32","sir",0.22244877146,0.28004315,0.169927825,5,50,1,1
"33","arima",0.185891758810296,0.798187,0.0039307885,6,1,1,1
"34","asg",0.0241021863625896,0.0907531075,0.00058472005,6,1,1,1
"35","naive",0.77461815285122,0.9746223,0.15822295,6,1,1,1
"36","sir",0.0153878995200881,0.0571625325,0.00039349345,6,1,1,1
"37","arima",0.2703439213,0.335833175,0.208584925,6,50,1,1
"38","asg",0.23888515756,0.29969445,0.18297795,6,50,1,1
"39","naive",0.27331915964,0.340533675,0.211125875,6,50,1,1
"40","sir",0.21745176036,0.2749605,0.1649492,6,50,1,1
"41","arima",0.181775978581234,0.793621625,0.00371888975,7,1,1,1
"42","asg",0.0185789463455185,0.0700438125,0.000450707375,7,1,1,1
"43","naive",0.786928307928188,0.97851665,0.172169575,7,1,1,1
"44","sir",0.0127167679984832,0.0473990125,0.000314621975,7,1,1,1
"45","arima",0.27573216822,0.341447025,0.2139026,7,50,1,1
"46","asg",0.23310911104,0.293577175,0.17837295,7,50,1,1
"47","naive",0.27882234068,0.345705,0.216705825,7,50,1,1
"48","sir",0.21233638206,0.2682943,0.16161985,7,50,1,1
"49","arima",0.178923267107209,0.782042475,0.00389925075,8,1,1,1
"50","asg",0.0151533032407831,0.0565223,0.000406857175,8,1,1,1
"51","naive",0.79503725159202,0.979942175,0.188584975,8,1,1,1
"52","sir",0.0108861765496002,0.0402031675,0.0002832616,8,1,1,1
"53","arima",0.28249111076,0.349244025,0.21923395,8,50,1,1
"54","asg",0.22639753406,0.28500405,0.172706975,8,50,1,1
"55","naive",0.28581179582,0.354539,0.22192595,8,50,1,1
"56","sir",0.20529955812,0.25995825,0.15582175,8,50,1,1
"57","arima",0.182679303063482,0.805865725,0.0037726405,9,1,1,1
"58","asg",0.0145981020242952,0.053651715,0.00034862015,9,1,1,1
"59","naive",0.79328563020874,0.981486775,0.167890925,9,1,1,1
"60","sir",0.00943696634239329,0.03471122,0.00024175365,9,1,1,1
"61","arima",0.28666451548,0.3539393,0.22319365,9,50,1,1
"62","asg",0.22619220872,0.285320175,0.172503875,9,50,1,1
"63","naive",0.28977371644,0.357077325,0.22627595,9,50,1,1
"64","sir",0.1973695597,0.2505236,0.14950995,9,50,1,1
"65","arima",0.229124425852469,0.888044825,0.00425227675,10,1,1,1
"66","asg",0.0143584884536617,0.053563005,0.00036618055,10,1,1,1
"67","naive",0.747733375486258,0.980623325,0.087405775,10,1,1,1
"68","sir",0.00878371034565508,0.03275655,0.000223155625,10,1,1,1
"69","arima",0.29021259316,0.358182175,0.226279,10,50,1,1
"70","asg",0.22635965358,0.284966125,0.17290065,10,50,1,1
"71","naive",0.29252535722,0.3607658,0.22788345,10,50,1,1
"72","sir",0.190902392672,0.242658275,0.14402795,10,50,1,1
"73","arima",0.278010554366349,0.924863075,0.00564566325,11,1,1,1
"74","asg",0.0144987630011907,0.053855925,0.000367680825,11,1,1,1
"75","naive",0.699278992737582,0.97838515,0.0498676825,11,1,1,1
"76","sir",0.00821169047498919,0.0304761425,0.00020091515,11,1,1,1
"77","arima",0.29289050204,0.3615499,0.22932875,11,50,1,1
"78","asg",0.2273800005,0.2864188,0.1735689,11,50,1,1
"79","naive",0.2940031115,0.362637125,0.22941875,11,50,1,1
"80","sir",0.185726386852,0.23700645,0.13990875,11,50,1,1
"81","arima",0.344290287528086,0.94798245,0.007098423,12,1,1,1
"82","asg",0.0146663524616789,0.0544471650000001,0.00035618835,12,1,1,1
"83","naive",0.633203988699254,0.976123225,0.02965529,12,1,1,1
"84","sir",0.00783937548933512,0.02924504,0.000195550925,12,1,1,1
"85","arima",0.29484612154,0.3634971,0.229036925,12,50,1,1
"86","asg",0.22789619656,0.2870111,0.17337595,12,50,1,1
"87","naive",0.29503869066,0.364407,0.23056895,12,50,1,1
"88","sir",0.182218992916,0.23302305,0.137217575,12,50,1,1
"89","arima",0.404097509611778,0.957735275,0.00913822,13,1,1,1
"90","asg",0.0150333425391416,0.0558272625,0.000368626875,13,1,1,1
"91","naive",0.573276349040018,0.973365075,0.02090553,13,1,1,1
"92","sir",0.00759279926181678,0.0283775,0.000194542175,13,1,1,1
"93","arima",0.29646097528,0.364978,0.230925975,13,50,1,1
"94","asg",0.22888479004,0.2885903,0.174581725,13,50,1,1
"95","naive",0.29526805754,0.36506475,0.229623375,13,50,1,1
"96","sir",0.17938617902,0.229375725,0.13500345,13,50,1,1
